"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","40608","@Web Browser Context Playwright Test","","2026-02-24","broken","2026-02-24","","UIBasictest.spec.js","",""
"","9914","@Web Client App End to End Automation Scenario ADIDAS ORIGINAL","","2026-02-24","passed","2026-02-24","","ClientAppPageObjects.spec.js","",""
"","45019","@Web Popup Validation","","2026-02-24","broken","2026-02-24","","MoreValidations.spec.js","",""
"","40543","@Web UI Controls","","2026-02-24","broken","2026-02-24","","UIBasictest.spec.js","",""
"","15598","@Web Client App End to End Automation Scenario ZARA COAT 3","","2026-02-24","passed","2026-02-24","","ClientAppPageObjects.spec.js","",""
